Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0201_0603Metric,120.725,-100.375,0.0,top
C2,100nF,C_0201_0603Metric,120.725,-136.125,0.0,top
C3,100nF,C_0201_0603Metric,121.125001,-63.875,0.0,top
D1,RED,LED_0805_2012Metric,123.695,-50.54,-90.0,top
J1,Conn_01x04_Pin,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,120.0,-46.325,0.0,top
R3,220,R_0603_1608Metric,123.455,-54.295,-90.0,top
U2,TMAG5273A1QDBVR,DBV0006A-IPC_A,119.853102,-98.0,0.0,top
U3,TMAG5273A1QDBVR,DBV0006A-IPC_A,120.400001,-134.0,0.0,top
U4,TMAG5273A1QDBVR,DBV0006A-IPC_A,120.400001,-62.0,0.0,top
